10064847_0_780753075600979173.csv:0|7;weight;weight;lbs
10124501_0_8105654822222390910.csv:0|5;3D;capacity;yd
10124501_1_1699641272750043510.csv:0|4;3D;capacity;yd
10124501_2_4328925499273869553.csv:0|5;3D;capacity;gal
1026561_0_8529622539496852671.csv:0|4;weight;weight;lbs
10880966_0_6297146112601804535.csv:0|5;1D;length;mm
11309896_0_3073053634677102315.csv:0|1;1D;height;in,1;1D;height;in
11968304_1_4847915422710197886.csv:0|2;1D;length;yd
12090919_1_2051267509314002314.csv:0|2;1D;length;yd
12149025_0_3630683266019076762.csv:0|1;3D;capacity;lb
12567908_0_6503522304973807546.csv:1|3;weight;wgt;lb
13486102_0_6407627447719584231.csv:0|10;weight;weight;g
13722189_0_2265068252523214129.csv:0|1;1D;length;mm,1;1D;length;mm,1;1D;length;mm
13742595_0_6543908257807729971.csv:0|4;1D;height;cm,4;1D;height;cm
14138484_0_8385908979519854797.csv:1|2;3D;volume;ml
14142740_0_3701161794574235891.csv:0|5;1D;length;mm
14562141_0_1812576644408086147.csv:0|3;weight;weight;kg
14562141_1_389150312207089506.csv:0|3;weight;weight;kg
14562141_2_5298504678640484063.csv:0|3;weight;weight;kg
14562141_3_6836728133472956892.csv:0|3;weight;weight;kg
15000020_0_3240847427364593983.csv:0|1;weight;weight;lbs
154089_0_167705072885538002.csv:0|3;weight;weight;lbs
15553077_0_8435692866513868843.csv:0|3;1D;length;ft
16024914_0_2294018515066909219.csv:0|2;3D;capacity;lbs
16633068_0_557824665772574127.csv:0|1;1D;diameter;mm
16633068_1_3424503184596932180.csv:0|1;1D;diameter;mm
16633068_2_8811009207550588870.csv:0|1;1D;diameter;mm
16633068_3_6610086989013025284.csv:0|1;1D;diameter;mm
16633068_4_5817761266833041013.csv:0|1;1D;diameter;mm
16817491_0_1578293579381983336.csv:0|1;1D;diameter;mm
17280004_0_2987658067862064924.csv:0|2;1D;length;cm
18007736_1_3256135150431654963.csv:0|2;1D;length;yd
18115216_0_7284608585858951406.csv:0|4;1D;altitude;m
18145645_0_3830298320845945365.csv:1|2;1D;length;cm,2;1D;length;cm
18377541_0_1630823297335185945.csv:0|1;1D;height;in,1;1D;height;in
18383306_0_9092471520767579796.csv:0|3;3D;capacity;g
18403965_1_3810966670541857576.csv:0|2;1D;length;yd
19192965_0_3503790701159482344.csv:0|8;weight;weight;lbs
19456260_0_1767746587505649643.csv:0|3;1D;diameter;mm
19610450_6_2461029267506513218.csv:1|3;weight;weight;lbs
20369187_0_2052564748593777561.csv:0|1;1D;height;in,1;1D;height;in
20662011_0_7210478043130167874.csv:0|2;weight;weight;g
21957928_0_5510104642602376153.csv:0|5;1D;length;mm
22802084_1_1837552252352791036.csv:0|1;1D;height;cm
22909522_0_78873510978811273.csv:0|2;1D;length;cm
23359603_0_4719918933984710047.csv:0|4;1D;height;cm,4;1D;height;cm
24019584_0_5397945294485739014.csv:0|4;1D;height;cm,4;1D;height;cm
24691630_0_3035619615011100881.csv:0|4;1D;length;m
24768236_0_6618942765109714137.csv:0|4;1D;length;m
24814176_0_787000297429078033.csv:0|4;1D;diameter;mm
24884907_2_2366406220086335523.csv:0|2;3D;volume;m
25408216_0_6423305179139752603.csv:0|4;1D;height;cm,4;1D;height;cm
25987143_0_6443827021862085930.csv:0|2;weight;weight;lbs
26121581_0_455286532515409682.csv:0|2;3D;capacity;lbs,2;3D;capacity;lbs
26220959_0_4725928108870391560.csv:0|3;1D;length;ft
26621189_0_5015433419219883897.csv:0|1;weight;weight;oz
26631445_0_1015217336188263730.csv:0|8;1D;length;ft
26814078_0_2843720552285871606.csv:0|5;1D;length;mm
2693265_0_7464950576978918843.csv:0|4;1D;height;cm,4;1D;height;cm
26956455_0_1294864383421755704.csv:2|8;weight;weight;g
27917171_0_7932771336588436703.csv:0|4;1D;length;m
27917171_1_6044424632555260520.csv:0|4;1D;length;m
27937943_5_1357990581593884050.csv:0|2;3D;capacity;ml
27961038_0_1535675886228110635.csv:0|2;1D;altitude;m,2;1D;altitude;m
28064400_0_3742135194993958863.csv:0|1;3D;capacity;kg
28224689_4_7445434374487198662.csv:0|1;weight;weight;lbs
28574995_0_4608404850566970160.csv:0|4;1D;length;m
28607098_0_8811132083729856852.csv:0|8;1D;length;ft
