1053406_0_6627089224993456252.csv:0|6;1D;size;mm
12676498_1_8894062226541436866.csv:0|2;1D;size;m
12877298_0_6144754946259632949.csv:2|3;1D;size;lb
13031221_0_2435380071915935721.csv:1|3;1D;size;ml
13031221_10_4878635407915414678.csv:1|3;1D;size;ml
13031221_11_4450549746774975450.csv:1|3;1D;size;ml
13031221_12_8651147440363398803.csv:1|3;1D;size;ml
13031221_13_3850180715728862839.csv:1|3;1D;size;ml
13031221_14_3660246962752790555.csv:1|3;1D;size;ml
13031221_15_778938387883969685.csv:1|3;1D;size;ml
13031221_16_4509883725294232135.csv:1|3;1D;size;ml
13031221_17_320062636767863594.csv:1|3;1D;size;ml
13031221_18_9018639890486428929.csv:1|3;1D;size;ml
13031221_19_1444788394156466855.csv:1|3;1D;size;ml
13031221_1_3447478602615051819.csv:1|3;1D;size;ml
13031221_20_7087443660304381561.csv:1|3;1D;size;ml
13031221_21_5880160220834284355.csv:1|3;1D;size;ml
13031221_2_8699314332949125042.csv:1|3;1D;size;ml
13031221_3_4143192884907845069.csv:1|3;1D;size;ml
13031221_4_6211720309820306511.csv:1|3;1D;size;ml
13031221_5_8826657727469094577.csv:1|3;1D;size;ml
13031221_6_2545667719693426846.csv:1|3;1D;size;ml
13031221_7_2889641021017555804.csv:1|3;1D;size;ml
13031221_8_9182219606252370414.csv:1|3;1D;size;ml
13031221_9_6035643245231615855.csv:1|3;1D;size;ml
1500945_0_4715447235347070906.csv:0|2;1D;size;m
17277672_0_9125155900618709008.csv:0|3;1D;size;gal
18604292_0_5699814739284207200.csv:0|2;1D;size;m
19250311_0_7773072095612359120.csv:0|2;1D;size;m
20217455_0_1095722560123682905.csv:1|3;1D;size;oz
20374172_0_2035865072058168341.csv:0|2;1D;size;m
2573137_0_4182832348361786126.csv:0|2;1D;size;mg
25962041_0_6781519736628495134.csv:0|3;1D;size;ft
27177513_0_8920487160466138886.csv:3|4;1D;size;oz
2873051_0_6910990708315528149.csv:0|2;1D;size;m
28948899_0_2315224982516338185.csv:0|2;weight;weight;g
29206793_0_844084846965883460.csv:0|1;1D;size;ft,1;1D;size;ft
29489643_0_850515850567689301.csv:0|3;weight;weight;lbs
29544023_0_8163915989303350516.csv:0|3;1D;size;ml
29768661_1_4337166691779839557.csv:0|2;weight;weight;lbs
29944273_0_5886332041249158124.csv:0|4;1D;height;cm,4;1D;height;cm
29990710_0_534918036006529457.csv:0|3;weight;weight;lb
30082043_0_3814916206368065033.csv:0|2;3D;volume;gallons
30082043_1_4609086321653579632.csv:0|2;3D;volume;gallons
30113956_0_1525015644643549614.csv:0|3;3D;capacity;kg
30181681_0_1359761733424582175.csv:1|2;1D;length;cm,2;1D;length;cm
30502282_0_7217670720118200519.csv:0|5;1D;length;mm
